# 2015 개정 교육과정 중학교 국어 교과서 수록 문학작품
# 출처: http://hutobol.cafe24.com/wiki/index.php/2015개정_국어과_교육과정_교과서_수록_문학작품/중학교_국어(표)
# 받은 날: 2026-09-22 · 학교별 교과서는 CLAUDE.md 를 볼 것
# 유효 범위(2022 개정 연차 적용): 중1 ~2025 · 중2 ~2026 · 중3 ~2027. 그 뒤 시험지는 새 교과서다
출판사	작품	지은이	갈래	출전	쓰임
교학사(남미영 외)	60년 후	백남룡	현대소설	《조선문학》	학습활동 제제
교학사(남미영 외)	「진달래꽃」 다시 읽기	이어령	현대비평	《조선일보》	바탕글
교학사(남미영 외)	가지 않은 길	로버트 프로스트	현대시	《The Atlantic Monthly》	추가 읽기 자료
교학사(남미영 외)	갑돌이와 갑순이	김다인·전기현	현대시(가요)	《신세기레코드》	추가 읽기 자료
교학사(남미영 외)	강아지 똥	권정생	현대소설	《기독교교육》	학습활동 제재
교학사(남미영 외)	겨울 일기	문정희	현대시	『어린 사랑에게』(미래사)	학습활동 제재
교학사(남미영 외)	견우직녀 설화	저자 미상	기타	발표지 미상	학습활동 제재
교학사(남미영 외)	경향신문 기사문	저자 미상	기타	《경향신문》	추가 읽기 자료
교학사(남미영 외)	고추, 김치의 색깔을 바꾸다	전국지리교사모임	현대수필	『지리, 세상을 날다』(서해문집)	바탕글
교학사(남미영 외)	공감의 시대	프란스 드 발	현대수필	『공감의 시대』(김영사)	추가 읽기 자료
교학사(남미영 외)	굼벙이 매암이 되야	저자 미상	고전시가(시조)	발표지 미상	학습활동 제재
교학사(남미영 외)	권오길이 찾은 발칙한 생물들	권오길	현대수필	『권오길이 찾은 발칙한 생물들』(을유문화사)	학습활동 제재
교학사(남미영 외)	귀뚜라미	나희덕	현대시	『그 말이 잎을 물들였다』(창비)	학습활동 제재
교학사(남미영 외)	그 한 마디 말	김창호	현대시	《대구일보》	학습활동 제재
교학사(남미영 외)	긔여	정윤천	현대시	《시와 정신》	학습활동 제재
교학사(남미영 외)	나는 나비	박태희	가요	『Why be?』	학습활동 제재
교학사(남미영 외)	나룻배와 행인	한용운	현대시	『님의 침묵』(회동서관)	학습활동 제재
교학사(남미영 외)	남으로 창을 내겠소	김상용	현대시	《문학》	학습활동 제재
교학사(남미영 외)	내가 꿈꾸는 졸업식	하진이(학생글)	기타	발표지미상	바탕글
교학사(남미영 외)	누가 내 말 좀 들어 줘	(학생글)	기타	발표지 미상	바탕글
교학사(남미영 외)	단심가	정몽주	고전시가(시조)	《청구영언》,《가곡원류》	학습활동 제재
교학사(남미영 외)	대화의 달인	저자 미상	만화	발표지 미상	바탕글
교학사(남미영 외)	독립신문 사설	저자 미상	기타	《독립신문》	학습활동 제재
교학사(남미영 외)	동백꽃	김유정	현대소설	《조광》	바탕글
교학사(남미영 외)	땅끝	나희덕	현대시	『그 말이 잎을 물들였다』(창비)	학습활동 제재
교학사(남미영 외)	먼 후일	김소월	현대시	《학생계》	바탕글
교학사(남미영 외)	멋지게 이기는 대화의 기술	최인호	기타	『멋지게 이기는 대화』(다연)	추가읽기자료
교학사(남미영 외)	메밀꽃 필 무렵	이효석	현대소설	《조광》	학습활동 제재
교학사(남미영 외)	무소유	법정	현대수필	《동아일보》	학습활동 제재
교학사(남미영 외)	문을 밀까, 두드릴까	임병식	현대수필	『수필 쓰기 핵심』(해드림출판사)	바탕글
교학사(남미영 외)	문학이란 무엇인가	장 폴 사르트르	현대비평	『문학이란 무엇인가』	추가 읽기 자료
교학사(남미영 외)	바람이 좋은 저녁	곽재구	현대시	『현장 비평가가 뽑은 올해의 좋은 시 99』(현대문학)	학습활동 제재
교학사(남미영 외)	방망이 깎던 노인	윤오영	현대수필	『방망이 깎던 노인』(범우사)	학습활동 제재
교학사(남미영 외)	배드민턴부를 살려라	저자 미상	기타	발표지 미상	바탕글
교학사(남미영 외)	별처럼 꽃처럼	오세영	현대시	시집 『꽃들은 별을 우러르며 산다』	바탕글
교학사(남미영 외)	보고서, 이렇게 써요	저자 미상	기타	발표지 미상	바탕글
교학사(남미영 외)	봄비	안도현	현대시	『그리운 여우』(창비)	추가 읽기 자료
교학사(남미영 외)	불을 끄고 별을 켜자	이정환	기타	《한국일보》	바탕글
교학사(남미영 외)	빨간 머리 앤	루시 모드 몽고메리	고전소설	『빨간 머리 앤』	추가 읽기 자료
교학사(남미영 외)	빨래꽃	유안진	현대시	『다보탑을 줍다』(창비)	학습활동 제재
교학사(남미영 외)	사랑손님과 어머니	주요섭	현대소설	《조광》	바탕글
교학사(남미영 외)	삼국사기	김부식	고전산문	《삼국사기》	학습활동 제재
교학사(남미영 외)	상황에 맞게 듣고 말하기	저자 미상	기타	발표지 미상	바탕글
교학사(남미영 외)	서로 돕는 사회	최재천	현대수필	『최재천의 인간과 동물』(궁리)	바탕글
교학사(남미영 외)	서시	윤동주	현대시	『하늘과 바람과 별과 시』(정읍사)	바탕글
교학사(남미영 외)	성장	이시영	현대시	『은빛 호각』(창비)	학습활동 제재
교학사(남미영 외)	세 얼간이	라지쿠마르 히라니	시나리오	발표지 미상	학습활동 제재
교학사(남미영 외)	세종어제훈민정음	저자 미상	고전산문	《월인석보》	바탕글
교학사(남미영 외)	소나기	황순원	현대소설	《신문학》	바탕글
